Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
tarsier,up to 16,up to 0.2,"gray, brown",12-20,insectivore,rainforests,"birds, snakes",40-50,"southeast asia, philippines",vulnerable,tarsiidae,180-210,40-50,solitary,1
tasmanian devil,30-76,4-14,"black, white",5-8,"carnivore, scavenger","forests, grasslands",tasmanian tigers,16,"tasmania, australia",endangered,dasyuridae,21-28,16,solitary,20-30
tasmanian tiger,100-130,20-30,yellow-brown,4-7,carnivore,australia,"humans, dingoes",40-72,australia,extinct,thylacinidae,121-128,40-72,solitary,1-4 (usually 2-3)
termite,up to 0.5,up to 0.02,varies,varies,herbivore,"forests, grasslands",not applicable,varies,worldwide,not applicable,termitoidae,varies,varies,social groups,varies
thorny devil,up to 20,up to 85,"brown, tan",5-20,insectivore,"desert, scrublands","birds, snakes",0.16-0.32,australia,least concern,agamidae,not applicable,not applicable,solitary,not applicable
three-toed sloth,46-58,up to 8,"brown, gray",10,herbivore,rainforests,harpy eagles,20,central and south america,least concern,bradypodidae,30-40,20,solitary,1-2
tibetan mastiff,61-78,63-75,"black, brown, gray",10-12,omnivore,human dwellings,not applicable,45,"asia, tibet",not applicable,canidae,58-82,45,social groups,1-10
tiger,108-133,100-390,"orange, black stripes",10-15,carnivore,rainforests,"humans, leopards",28,"asia, russia",endangered,felidae,280-310,28,solitary,1-4
titanoboa,up to 1440,up to 24950,dark brown,10-15,carnivore,wetlands,"fish, crocodiles",27,south america,extinct (around 58 million years ago),boidae,420-470,27,solitary,not applicable
toco toucan,55-65,540-700,"black, orange, yellow",6-10,omnivore,rainforests,"birds of prey, jaguars",29-42,south america,least concern,ramphastidae,17-20,56-64,flocks,2-4
tree kangaroo,51-79,4-8,"brown, red",15-20,herbivore,rainforests,"quolls, pythons",30,"papua new guinea, indonesia",endangered,macropodidae,126-130,30,solitary,1
tsetse fly,up to 0.7,up to 0.03,"brown, gray",up to 28,carnivore,savannahs,not applicable,not applicable,africa,not applicable,glossinidae,varies,varies,solitary,varies
tuatara,up to 80,up to 1.5,grayish-brown,up to 100,"carnivore, insectivore","islands, coastal areas","rats, cats",0.03,new zealand,vulnerable,rhynchocephalia,12-15,not applicable,solitary,up to 16
tufted puffin,35-41,0.4-1,"black, white",up to 20,carnivore,coastal areas,"eagles, falcons",17,north pacific,least concern,alcidae,122-130,17,social groups,1
uakari,46-56,2-3,"bald, red",10-15,omnivore,rainforests,"jaguars, snakes",20,amazon basin,vulnerable,pitheciidae,120-130,20,group-based,1-6
vampire bat,up to 9,up to 0.05,brown,8-12,carnivore,"caves, forests","hawks, owls",24-40,americas,least concern,phyllostomidae,50-70,24-40,colony-based,1
vaquita,up to 150,up to 55,"grey, white",20-21,carnivore,gulf of california,"nets, sharks",not applicable,"gulf of california, mexico",critically endangered,phocoenidae,10-11 months,not applicable,solitary,1
vulture,varies,varies,"black, brown",varies,carnivore,various,not applicable,varies,"africa, asia, americas",varies,accipitridae,varies,varies,social groups,varies
walrus,up to 3200,up to 1200,brown,40-50,carnivore,"arctic, coastal areas","polar bears, orcas",40,"arctic, subarctic",least concern,odobenidae,20-25,40,group-based,up to 200
warthog,85-150,60-150,"brown, black",15-20,omnivore,"savannahs, grasslands","lions, leopards",20,sub-saharan africa,least concern,suidae,160-220,20,group-based,4-32
water buffalo,200-300,300-1200,dark gray,20-25,herbivore,"grasslands, wetlands","tigers, crocodiles",40,"asia, africa",least concern,bovidae,240-270,40,group-based,30-500
western gorilla,140-200,68-182,black,30-40,herbivore,rainforests,"leopards, humans",40,central africa,critically endangered,hominidae,220-270,40,social groups,1
western lowland gorilla,140-200,68-181,black,30-40,herbivore,rainforests,"leopards, humans",40,central africa,critically endangered,hominidae,220-270,40,social groups,1
whale shark,up to 1800,up to 1500,"gray, white",70-100,filter feeder,oceans,not applicable,70,worldwide,endangered,rhincodontidae,100-150,70,solitary,1
white rhinoceros,1400-2300,1800-2500,gray,40-50,herbivore,grasslands,"lions, hyenas",45,eastern and southern africa,near threatened,rhinocerotidae,240-300,45,group-based,1-14
white tiger,240-260,100-300,"white, black stripes",10-15,carnivore,rainforests,"humans, leopards",22,"india, southeast asia",critically endangered,felidae,230-260,22,solitary,1
wild boar,65-100,30-120,"brown, black",10-25,omnivore,"forests, grasslands","tigers, leopards",20,"eurasia, north africa, americas",least concern,suidae,160-190,20,group-based,6-30
wildebeest,170-250,200-390,"gray, black",20-25,herbivore,grasslands,"lions, crocodiles",47,eastern and southern africa,least concern,bovidae,240-270,47,group-based,1-1000
wolf,66-81,23-80,"gray, white",8-13,carnivore,"forests, grasslands","bears, humans",45,"eurasia, north america, north africa",least concern,canidae,90-160,45,group-based,2-20
wolverine,30-45,9-25,dark brown,7-12,"carnivore, scavenger","boreal forests, tundra","bears, wolves",56-70,"north america, europe, asia",least concern,mustelidae,40-45,56-70,solitary,2-3
wombat,84-118,20-35,"brown, gray",5-10,herbivore,"forests, grasslands","dingoes, tasmanian devils",20,australia,least concern,vombatidae,126-138,20,solitary,1
woodpecker,6.7-18,0.02-0.07,varies,varies,insectivore,forests,"birds, snakes",not applicable,worldwide,not applicable,picidae,varies,varies,solitary,varies
woolly mammoth,up to 4200,up to 12000,"brown, shaggy",varies,herbivore,tundra,not applicable,varies,northern hemisphere,"extinct (around 4,000 years ago)",elephantidae,varies,varies,social groups,varies
yak,140-160,500-1200,"brown, black",20-25,herbivore,mountains,"snow leopards, wolves",24,"himalayas, central asia",least concern,bovidae,215-280,24,group-based,10-50
yellow-eyed penguin,60-65,1-3,"yellow, white",up to 20,carnivore,coastal areas,"seals, orcas",25,new zealand,endangered,spheniscidae,80-90,25,solitary,1
yeti crab,up to 15,up to 0.5,"white, hairy",up to 20,omnivore,hydrothermal vents,not applicable,not applicable,pacific ocean,not evaluated,kiwaidae,not applicable,not applicable,solitary,not applicable
zebra,220-340,400-900,"black, white",20-25,herbivore,grasslands,"lions, hyenas",25,africa,least concern,equidae,180-365,25,group-based,5-20
zebra shark,up to 330,up to 32,"brown, yellowish",25-30,carnivore,coral reefs,larger fish,20,indo-pacific region,endangered,stegostomatidae,10-25,20,solitary,up to 25
